LED_CHAMBER_2022
DATE: 2023-02-03
TIME: 13:56:46
(START)WAIT_TIME: 5 MIN
LED_RATE: 5
LED_VALUE: 0.0 20.0 40.0 60.0 80.0 100
CYCLE_COUNT: 30 CYCLE_MINUTE: 5.0 MINUTE
STIR_PUMP_RATE: 50 ML/MIN

NO LED_RATE NO_CYCLE DATE TIME OXYZEN_VALUE TEMP_VALUE
1 0 1 2023-2-3 14:2:0 258.1 22.85
2 0 2 2023-2-3 14:2:10 257.37 22.9
3 0 3 2023-2-3 14:2:20 257.54 22.9
4 0 4 2023-2-3 14:2:30 257.29 22.9
5 0 5 2023-2-3 14:2:40 257.02 22.93
6 0 6 2023-2-3 14:2:50 257.02 22.93
7 0 7 2023-2-3 14:3:0 257.12 22.93
8 0 8 2023-2-3 14:3:10 257.14 22.93
9 0 9 2023-2-3 14:3:20 256.78 22.93
10 0 10 2023-2-3 14:3:30 257.29 22.93
11 0 11 2023-2-3 14:3:40 256.73 22.93
12 0 12 2023-2-3 14:3:50 257.12 22.93
13 0 13 2023-2-3 14:4:0 256.93 22.93
14 0 14 2023-2-3 14:4:10 257.31 22.93
15 0 15 2023-2-3 14:4:20 256.83 22.93
16 0 16 2023-2-3 14:4:30 256.93 22.93
17 0 17 2023-2-3 14:4:40 257.07 22.93
18 0 18 2023-2-3 14:4:50 257.02 22.93
19 0 19 2023-2-3 14:5:0 257.05 22.93
20 0 20 2023-2-3 14:5:10 257.1 22.9
21 0 21 2023-2-3 14:5:20 257.27 22.9
22 0 22 2023-2-3 14:5:30 257.27 22.9
23 0 23 2023-2-3 14:5:40 257.22 22.9
24 0 24 2023-2-3 14:5:50 257.0 22.93
25 0 25 2023-2-3 14:6:0 257.66 22.9
26 0 26 2023-2-3 14:6:10 257.17 22.9
27 0 27 2023-2-3 14:6:20 257.46 22.9
28 0 28 2023-2-3 14:6:30 257.22 22.9
29 0 29 2023-2-3 14:6:40 257.22 22.9
30 0 30 2023-2-3 14:6:50 257.41 22.9
31 1 1 2023-2-3 14:7:2 256.88 22.9
32 1 2 2023-2-3 14:7:12 257.08 22.9
33 1 3 2023-2-3 14:7:22 257.29 22.9
34 1 4 2023-2-3 14:7:32 256.64 22.9
35 1 5 2023-2-3 14:7:42 257.51 22.9
36 1 6 2023-2-3 14:7:52 257.05 22.9
37 1 7 2023-2-3 14:8:2 257.41 22.9
38 1 8 2023-2-3 14:8:12 257.0 22.9
39 1 9 2023-2-3 14:8:22 257.0 22.9
40 1 10 2023-2-3 14:8:32 257.66 22.9
41 1 11 2023-2-3 14:8:42 257.34 22.9
42 1 12 2023-2-3 14:8:52 257.54 22.9
43 1 13 2023-2-3 14:9:2 257.05 22.9
44 1 14 2023-2-3 14:9:12 257.27 22.9
45 1 15 2023-2-3 14:9:22 258.07 22.9
46 1 16 2023-2-3 14:9:32 257.1 22.93
47 1 17 2023-2-3 14:9:42 256.49 22.93
48 1 18 2023-2-3 14:9:52 257.65 22.93
49 1 19 2023-2-3 14:10:2 257.7 22.93
50 1 20 2023-2-3 14:10:12 256.9 22.93
51 1 21 2023-2-3 14:10:22 257.31 22.93
52 1 22 2023-2-3 14:10:32 257.58 22.93
53 1 23 2023-2-3 14:10:42 257.36 22.93
54 1 24 2023-2-3 14:10:52 256.87 22.96
55 1 25 2023-2-3 14:11:2 256.87 22.96
56 1 26 2023-2-3 14:11:12 257.31 22.96
57 1 27 2023-2-3 14:11:22 257.31 22.96
58 1 28 2023-2-3 14:11:32 256.97 22.96
59 1 29 2023-2-3 14:11:42 256.97 22.96
60 1 30 2023-2-3 14:11:52 257.45 22.96
61 2 1 2023-2-3 14:12:5 257.33 22.96
62 2 2 2023-2-3 14:12:15 256.56 22.96
63 2 3 2023-2-3 14:12:25 257.53 22.96

