LED_CHAMBER_2022
DATE: 2023-2-2
TIME: 13:11:44
(START)WAIT_TIME: 10 MIN
LED_RATE: 10
LED_VALUE: 0.0 10.0 20.0 30.0 40.0 50.0 60.0 70.0 80.0 90.0 100
CYCLE_COUNT: 120 CYCLE_MINUTE: 20.0 MINUTE
STIR_PUMP_RATE: 30 ML/MIN

NO LED_RATE NO_CYCLE DATE TIME OXYZEN_VALUE TEMP_VALUE
1 0 1 2023-2-2 13:21:58 256.48 23.49
2 0 2 2023-2-2 13:22:8 256.2 23.52
3 0 3 2023-2-2 13:22:18 256.25 23.52
4 0 4 2023-2-2 13:22:28 256.0 23.55
5 0 5 2023-2-2 13:22:38 256.1 23.55
6 0 6 2023-2-2 13:22:48 256.25 23.55
7 0 7 2023-2-2 13:22:58 256.2 23.55
8 0 8 2023-2-2 13:23:8 256.05 23.55
9 0 9 2023-2-2 13:23:18 255.98 23.55
10 0 10 2023-2-2 13:23:28 256.03 23.52
11 0 11 2023-2-2 13:23:38 256.28 23.52
12 0 12 2023-2-2 13:23:48 256.11 23.52
13 0 13 2023-2-2 13:23:58 256.43 23.49
14 0 14 2023-2-2 13:24:8 256.06 23.52
15 0 15 2023-2-2 13:24:18 256.21 23.49
16 0 16 2023-2-2 13:24:28 256.45 23.49
17 0 17 2023-2-2 13:24:38 256.43 23.49
18 0 18 2023-2-2 13:24:48 256.19 23.49
19 0 19 2023-2-2 13:24:58 256.48 23.49
20 0 20 2023-2-2 13:25:8 256.53 23.47
21 0 21 2023-2-2 13:25:18 256.53 23.47
22 0 22 2023-2-2 13:25:28 256.43 23.47
23 0 23 2023-2-2 13:25:38 256.34 23.47
24 0 24 2023-2-2 13:25:48 256.65 23.47
25 0 25 2023-2-2 13:25:58 256.48 23.47
26 0 26 2023-2-2 13:26:8 256.68 23.44
27 0 27 2023-2-2 13:26:18 256.61 23.44
28 0 28 2023-2-2 13:26:28 256.56 23.44
29 0 29 2023-2-2 13:26:38 256.63 23.44
30 0 30 2023-2-2 13:26:48 256.39 23.44
31 0 31 2023-2-2 13:26:58 256.64 23.41
32 0 32 2023-2-2 13:27:8 256.78 23.41
33 0 33 2023-2-2 13:27:18 256.86 23.41
34 0 34 2023-2-2 13:27:28 256.88 23.41
35 0 35 2023-2-2 13:27:38 256.49 23.41
36 0 36 2023-2-2 13:27:48 256.64 23.41
37 0 37 2023-2-2 13:27:58 256.86 23.38
38 0 38 2023-2-2 13:28:8 256.89 23.38
39 0 39 2023-2-2 13:28:18 257.13 23.38
40 0 40 2023-2-2 13:28:28 256.77 23.38
41 0 41 2023-2-2 13:28:38 257.03 23.38
42 0 42 2023-2-2 13:28:48 256.97 23.35
43 0 43 2023-2-2 13:28:58 257.21 23.35
44 0 44 2023-2-2 13:29:8 256.97 23.35
45 0 45 2023-2-2 13:29:18 257.09 23.35
46 0 46 2023-2-2 13:29:28 256.97 23.35
47 0 47 2023-2-2 13:29:38 256.8 23.35
48 0 48 2023-2-2 13:29:48 256.99 23.35
49 0 49 2023-2-2 13:29:58 257.09 23.35
50 0 50 2023-2-2 13:30:8 256.84 23.35
51 0 51 2023-2-2 13:30:18 257.06 23.35
52 0 52 2023-2-2 13:30:28 256.81 23.38
53 0 53 2023-2-2 13:30:38 256.62 23.38
54 0 54 2023-2-2 13:30:48 256.64 23.38
55 0 55 2023-2-2 13:30:58 256.67 23.38
56 0 56 2023-2-2 13:31:8 256.77 23.38
57 0 57 2023-2-2 13:31:18 256.84 23.38
58 0 58 2023-2-2 13:31:28 256.47 23.41
59 0 59 2023-2-2 13:31:38 256.74 23.41
60 0 60 2023-2-2 13:31:48 256.37 23.41
61 0 61 2023-2-2 13:31:58 256.34 23.44
62 0 62 2023-2-2 13:32:8 256.46 23.44
63 0 63 2023-2-2 13:32:18 256.44 23.44
64 0 64 2023-2-2 13:32:28 256.41 23.44
65 0 65 2023-2-2 13:32:38 256.27 23.44
66 0 66 2023-2-2 13:32:48 255.98 23.44
67 0 67 2023-2-2 13:32:58 256.19 23.47
68 0 68 2023-2-2 13:33:8 255.99 23.49
69 0 69 2023-2-2 13:33:18 255.73 23.49
70 0 70 2023-2-2 13:33:28 255.92 23.49
71 0 71 2023-2-2 13:33:38 255.77 23.49
72 0 72 2023-2-2 13:33:48 255.62 23.52
73 0 73 2023-2-2 13:33:58 255.62 23.52
74 0 74 2023-2-2 13:34:8 255.67 23.55
75 0 75 2023-2-2 13:34:18 255.62 23.55
76 0 76 2023-2-2 13:34:28 255.57 23.55
77 0 77 2023-2-2 13:34:38 255.37 23.58
78 0 78 2023-2-2 13:34:48 255.06 23.58
79 0 79 2023-2-2 13:34:58 255.27 23.58
80 0 80 2023-2-2 13:35:8 255.44 23.58
81 0 81 2023-2-2 13:35:18 255.36 23.61
82 0 82 2023-2-2 13:35:28 255.32 23.61
83 0 83 2023-2-2 13:35:38 254.85 23.63
84 0 84 2023-2-2 13:35:48 254.88 23.63
85 0 85 2023-2-2 13:35:58 255.0 23.63
86 0 86 2023-2-2 13:36:8 254.6 23.66
87 0 87 2023-2-2 13:36:18 254.7 23.66
88 0 88 2023-2-2 13:36:28 254.45 23.69
89 0 89 2023-2-2 13:36:38 254.45 23.69
90 0 90 2023-2-2 13:36:48 254.72 23.69
91 0 91 2023-2-2 13:36:58 254.49 23.72
92 0 92 2023-2-2 13:37:8 254.72 23.69
93 0 93 2023-2-2 13:37:18 254.54 23.72
94 0 94 2023-2-2 13:37:28 254.73 23.72
95 0 95 2023-2-2 13:37:38 254.2 23.75
96 0 96 2023-2-2 13:37:48 254.32 23.75
97 0 97 2023-2-2 13:37:58 254.32 23.75
98 0 98 2023-2-2 13:38:8 254.32 23.75
99 0 99 2023-2-2 13:38:19 253.95 23.78
100 0 100 2023-2-2 13:38:29 254.24 23.78
101 0 101 2023-2-2 13:38:39 254.14 23.78
102 0 102 2023-2-2 13:38:49 254.31 23.78
103 0 103 2023-2-2 13:38:59 254.26 23.78
