cycle 5 Stir_pump_PWM 30
Cycle Start_time_Day Start_time_Hour 
1 2023-02-02 14:20:00 30 30
2 2023-02-02 15:00:00 30 30
3 2023-02-02 15:40:00 30 30
4 2023-02-02 16:20:00 30 30
5 2023-02-02 14:10:00 30 30

No_Count Cycle Cycle_Count Measure_time_Day Measure_time_Hour Oxyzen_value_1 Oxyzen_value_2 Temp_value_1 Temp_value_2 THL_FLX THL_Temp Stir_pump_working Fill_pump_working
1 1 1 2023-02-02 14:19:59 230.48 263.85 24.41 20.12 53.3 22.5 1 0
2 1 2 2023-02-02 14:20:21 230.99 261.8 24.38 20.15 70.0 22.5 1 0
3 1 3 2023-02-02 14:20:40 231.05 261.08 24.38 20.17 76.6 22.5 1 0
4 1 4 2023-02-02 14:20:59 230.92 260.99 24.38 20.2 66.6 22.5 1 0
5 1 5 2023-02-02 14:21:21 231.01 260.46 24.38 20.23 16.6 22.5 1 0
6 1 6 2023-02-02 14:21:41 231.4 260.78 24.38 20.23 70.0 22.5 1 0
7 1 7 2023-02-02 14:22:01 231.69 260.72 24.35 20.25 70.0 22.5 1 0
8 1 8 2023-02-02 14:22:21 231.23 260.77 24.35 20.25 63.3 22.5 1 0
9 1 9 2023-02-02 14:22:40 231.3 260.73 24.35 20.28 63.3 22.5 1 0
10 1 10 2023-02-02 14:23:01 231.3 260.87 24.35 20.28 36.6 22.5 1 0
11 1 11 2023-02-02 14:23:21 231.26 260.57 24.35 20.3 76.6 22.5 1 0
12 1 12 2023-02-02 14:23:41 231.43 261.2 24.35 20.3 73.3 22.5 1 0
13 1 13 2023-02-02 14:24:01 231.57 260.92 24.32 20.33 59.9 22.5 1 0
14 1 14 2023-02-02 14:24:20 231.17 260.75 24.32 20.33 70.0 22.5 1 0
15 1 15 2023-02-02 14:24:40 231.33 261.22 24.32 20.35 76.6 22.5 1 0
16 1 16 2023-02-02 14:25:01 231.79 261.1 24.29 20.35 73.3 22.5 1 0
17 1 17 2023-02-02 14:25:21 231.5 261.16 24.32 20.38 73.3 22.5 1 0
18 1 18 2023-02-02 14:25:41 231.43 260.96 24.32 20.38 66.6 22.5 1 0
19 1 19 2023-02-02 14:26:01 231.92 260.78 24.29 20.41 56.6 22.5 1 0
20 1 20 2023-02-02 14:26:20 231.59 260.86 24.29 20.43 53.3 22.5 1 0
21 1 21 2023-02-02 14:26:41 231.53 260.93 24.29 20.43 73.3 22.5 1 0
22 1 22 2023-02-02 14:27:01 231.85 260.92 24.29 20.46 46.6 22.5 1 0
23 1 23 2023-02-02 14:27:21 232.06 260.85 24.26 20.48 73.3 22.5 1 0
24 1 24 2023-02-02 14:27:41 231.69 261.19 24.26 20.46 70.0 22.5 1 0
25 1 25 2023-02-02 14:28:00 231.84 261.17 24.26 20.48 70.0 22.5 1 0
26 1 26 2023-02-02 14:28:21 231.75 261.54 24.26 20.48 63.3 22.5 1 0
27 1 27 2023-02-02 14:28:41 232.23 261.03 24.26 20.51 63.3 22.5 1 0
28 1 28 2023-02-02 14:29:01 232.21 261.04 24.24 20.53 59.9 22.5 1 0
29 1 29 2023-02-02 14:29:21 231.89 261.17 24.24 20.53 56.6 22.5 1 0
30 1 30 2023-02-02 14:29:41 231.95 261.09 24.24 20.53 76.6 22.5 1 0
31 1 31 2023-02-02 14:30:01 232.02 261.25 24.24 20.56 73.3 22.5 1 0
32 1 32 2023-02-02 14:30:21 231.82 260.96 24.24 20.56 76.6 22.5 1 0
33 1 33 2023-02-02 14:30:41 232.09 260.89 24.21 20.59 56.6 22.5 1 0
34 1 34 2023-02-02 14:31:01 232.13 260.96 24.21 20.59 56.6 22.5 1 0
35 1 35 2023-02-02 14:31:21 232.15 261.11 24.21 20.59 73.3 22.4 1 0
36 1 36 2023-02-02 14:31:41 232.15 260.95 24.21 20.61 76.6 22.5 1 0
37 1 37 2023-02-02 14:32:01 232.5 260.67 24.21 20.64 56.6 22.4 1 0
38 1 38 2023-02-02 14:32:21 232.29 260.93 24.21 20.64 70.0 22.5 1 0
39 1 39 2023-02-02 14:32:41 232.23 260.9 24.18 20.66 49.9 22.5 1 0
40 1 40 2023-02-02 14:33:01 231.89 260.7 24.21 20.66 66.6 22.5 1 0
41 1 41 2023-02-02 14:33:22 232.07 260.34 24.18 20.69 63.3 22.5 1 0
42 1 42 2023-02-02 14:33:41 232.44 260.44 24.18 20.69 36.6 22.4 1 0
43 1 43 2023-02-02 14:34:01 232.05 260.06 24.18 20.72 53.3 22.4 1 0
44 1 44 2023-02-02 14:34:21 232.31 260.4 24.18 20.72 70.0 22.5 1 0
45 1 45 2023-02-02 14:34:41 232.27 260.39 24.18 20.74 70.0 22.5 1 0
46 1 46 2023-02-02 14:35:02 232.6 260.36 24.18 20.74 76.6 22.4 1 0
47 1 47 2023-02-02 14:35:21 232.36 260.26 24.15 20.74 63.3 22.5 1 0
48 1 48 2023-02-02 14:35:41 232.45 260.3 24.15 20.77 66.6 22.4 1 0
49 1 49 2023-02-02 14:36:01 232.17 260.3 24.15 20.77 66.6 22.4 1 0
50 1 50 2023-02-02 14:36:21 232.43 259.8 24.15 20.79 59.9 22.4 1 0
51 1 51 2023-02-02 14:36:42 232.12 260.21 24.15 20.79 59.9 22.5 1 0
52 1 52 2023-02-02 14:37:02 232.52 260.02 24.15 20.82 63.3 22.4 1 0
53 1 53 2023-02-02 14:37:21 232.19 260.3 24.15 20.85 63.3 22.4 1 0
54 1 54 2023-02-02 14:37:41 232.04 260.15 24.15 20.85 73.3 22.4 1 0
55 1 55 2023-02-02 14:38:01 232.3 260.31 24.15 20.87 59.9 22.4 1 0
56 1 56 2023-02-02 14:38:22 232.3 259.64 24.15 20.9 66.6 22.5 1 0
57 1 57 2023-02-02 14:38:42 232.34 260.12 24.15 20.9 66.6 22.4 1 0
58 1 58 2023-02-02 14:39:01 232.04 259.77 24.15 20.93 70.0 22.4 1 0
59 1 59 2023-02-02 14:39:21 232.3 260.97 24.15 20.95 36.6 22.4 1 0
60 1 60 2023-02-02 14:39:41 231.99 261.64 24.18 20.95 73.3 22.4 1 0
61 1 61 2023-02-02 14:40:02 231.86 260.15 24.18 20.98 70.0 22.4 1 0
62 1 62 2023-02-02 14:40:22 232.31 260.06 24.18 21.0 59.9 22.4 1 0
63 1 63 2023-02-02 14:40:42 231.94 259.9 24.18 21.03 66.6 22.4 1 0
64 1 64 2023-02-02 14:41:01 231.76 259.96 24.21 21.06 66.6 22.4 1 0
65 1 65 2023-02-02 14:41:21 231.87 259.5 24.21 21.08 66.6 22.4 1 0
66 1 66 2023-02-02 14:41:42 232.0 259.63 24.21 21.11 59.9 22.5 1 0
67 1 67 2023-02-02 14:42:02 231.82 259.23 24.24 21.13 76.6 22.4 1 0
68 1 68 2023-02-02 14:42:22 231.63 259.07 24.24 21.16 63.3 22.4 1 0
69 1 69 2023-02-02 14:42:41 231.56 258.71 24.26 21.19 76.6 22.4 1 0
70 1 70 2023-02-02 14:43:01 231.73 258.55 24.26 21.21 73.3 22.4 1 0
71 1 71 2023-02-02 14:43:22 231.71 258.29 24.26 21.24 59.9 22.4 1 0
72 1 72 2023-02-02 14:43:42 230.96 258.47 24.29 21.27 66.6 22.5 1 0
73 1 73 2023-02-02 14:44:02 231.18 258.44 24.29 21.27 53.3 22.4 1 0
74 1 74 2023-02-02 14:44:21 231.02 258.43 24.32 21.29 73.3 22.4 1 0
75 1 75 2023-02-02 14:44:41 230.92 257.93 24.32 21.32 59.9 22.4 1 0
76 1 76 2023-02-02 14:45:02 230.78 257.72 24.35 21.35 63.3 22.5 1 0
