1 2023-02-06 18:00:00 50 30
2 2023-02-06 19:00:00 50 30
3 2023-02-06 20:00:00 50 30
4 2023-02-06 21:00:00 50 30
5 2023-02-06 22:00:00 50 30
6 2023-02-06 23:00:00 50 30
7 2023-02-07 00:00:00 50 30
8 2023-02-07 01:00:00 50 30
9 2023-02-07 02:00:00 50 30
10 2023-02-07 03:00:00 50 30

No_Count Cycle Cycle_Count Date Time Oxygen_1 Oxygen_2 Temp_1 Temp_2 Light THL_Temp Stir_On Fill_On
1 1 1 2023-02-06 18:00:04 231.65 251.99 24.52 20.93 3.3 22.6 1 0
2 1 2 2023-02-06 18:00:24 232.02 251.6 24.52 20.93 0.0 22.5 1 0
3 1 3 2023-02-06 18:00:44 231.79 251.24 24.49 20.93 3.3 22.5 1 0
4 1 4 2023-02-06 18:01:04 231.85 250.82 24.49 20.93 3.3 22.5 1 0
5 1 5 2023-02-06 18:01:24 231.81 250.19 24.49 20.93 3.3 22.5 1 0
6 1 6 2023-02-06 18:01:44 231.97 250.38 24.46 20.93 0.0 22.5 1 0
7 1 7 2023-02-06 18:02:04 231.62 250.54 24.46 20.9 10.0 22.5 1 0
8 1 8 2023-02-06 18:02:24 232.04 250.56 24.44 20.9 3.3 22.5 1 0
9 1 9 2023-02-06 18:02:44 231.95 250.68 24.44 20.9 3.3 22.5 1 0
10 1 10 2023-02-06 18:03:04 232.19 251.0 24.44 20.87 16.6 22.5 1 0
11 1 11 2023-02-06 18:03:24 232.31 251.08 24.41 20.85 0.0 22.5 1 0
12 1 12 2023-02-06 18:03:44 232.26 250.74 24.41 20.87 0.0 22.4 1 0
13 1 13 2023-02-06 18:04:04 232.36 251.01 24.38 20.85 0.0 22.4 1 0
14 1 14 2023-02-06 18:04:24 232.29 250.98 24.38 20.82 3.3 22.4 1 0
15 1 15 2023-02-06 18:04:44 232.49 250.94 24.35 20.82 3.3 22.4 1 0
16 1 16 2023-02-06 18:05:04 232.56 251.24 24.35 20.82 3.3 22.4 1 0
17 1 17 2023-02-06 18:05:14 232.63 251.28 24.32 20.79 3.3 22.4 1 0
18 1 18 2023-02-06 18:05:34 233.05 251.35 24.29 20.79 3.3 22.4 1 0
19 1 19 2023-02-06 18:05:54 232.79 251.58 24.29 20.77 0.0 22.3 1 0
20 1 20 2023-02-06 18:06:14 233.05 251.48 24.29 20.77 0.0 22.4 1 0
21 1 21 2023-02-06 18:06:34 233.02 251.65 24.26 20.77 3.3 22.4 1 0
22 1 22 2023-02-06 18:06:54 232.88 251.85 24.26 20.74 6.6 22.3 1 0
23 1 23 2023-02-06 18:07:14 233.02 251.64 24.26 20.74 3.3 22.3 1 0
24 1 24 2023-02-06 18:07:34 233.06 252.01 24.24 20.72 0.0 22.3 1 0
25 1 25 2023-02-06 18:07:54 232.87 252.22 24.24 20.72 3.3 22.3 1 0
26 1 26 2023-02-06 18:08:14 233.27 252.2 24.21 20.72 3.3 22.3 1 0
27 1 27 2023-02-06 18:08:34 233.29 252.24 24.21 20.69 3.3 22.3 1 0
28 1 28 2023-02-06 18:08:54 233.16 252.4 24.18 20.69 3.3 22.3 1 0
29 1 29 2023-02-06 18:09:14 233.34 252.79 24.18 20.66 3.3 22.3 1 0
30 1 30 2023-02-06 18:09:34 233.23 252.72 24.18 20.66 0.0 22.2 1 0
31 1 31 2023-02-06 18:09:54 233.45 252.25 24.15 20.66 3.3 22.3 1 0
32 1 32 2023-02-06 18:10:14 233.37 252.85 24.12 20.64 3.3 22.2 1 0
33 1 33 2023-02-06 18:10:35 233.53 252.57 24.12 20.64 3.3 22.2 1 0
34 1 34 2023-02-06 18:10:55 233.55 252.9 24.09 20.64 23.3 22.2 1 0
35 1 35 2023-02-06 18:11:15 233.57 252.81 24.09 20.64 3.3 22.2 1 0
36 1 36 2023-02-06 18:11:35 234.02 252.59 24.06 20.61 3.3 22.2 1 0
37 1 37 2023-02-06 18:11:55 233.71 252.89 24.06 20.61 0.0 22.1 1 0
38 1 38 2023-02-06 18:12:15 233.98 253.12 24.04 20.59 3.3 22.1 1 0
39 1 39 2023-02-06 18:12:35 233.91 252.68 24.04 20.59 3.3 22.1 1 0
40 1 40 2023-02-06 18:12:55 233.99 252.91 24.01 20.59 3.3 22.2 1 0
41 1 41 2023-02-06 18:13:15 234.29 252.91 24.01 20.59 3.3 22.1 1 0
42 1 42 2023-02-06 18:13:35 234.12 253.09 23.98 20.56 0.0 22.1 1 0
43 1 43 2023-02-06 18:13:55 234.45 253.09 23.98 20.56 3.3 22.0 1 0
44 1 44 2023-02-06 18:14:15 234.46 253.07 23.95 20.56 3.3 22.0 1 0
45 1 45 2023-02-06 18:14:35 234.39 253.02 23.95 20.56 3.3 22.0 1 0
46 1 46 2023-02-06 18:14:55 234.35 253.32 23.95 20.53 0.0 22.1 1 0
47 1 47 2023-02-06 18:15:15 234.55 253.01 23.92 20.53 3.3 22.0 1 0
48 1 48 2023-02-06 18:15:35 234.51 253.18 23.92 20.53 0.0 22.0 1 0
49 1 49 2023-02-06 18:15:55 234.27 253.41 23.89 20.51 3.3 22.0 1 0
50 1 50 2023-02-06 18:16:15 234.66 253.22 23.89 20.51 0.0 22.0 1 0
51 1 51 2023-02-06 18:16:35 234.67 253.12 23.87 20.51 3.3 22.0 1 0
52 1 52 2023-02-06 18:16:55 234.76 253.15 23.84 20.51 3.3 22.0 1 0
53 1 53 2023-02-06 18:17:15 235.11 253.16 23.84 20.48 3.3 22.0 1 0
54 1 54 2023-02-06 18:17:35 235.08 253.28 23.81 20.48 3.3 22.0 1 0
55 1 55 2023-02-06 18:17:55 234.72 253.63 23.81 20.48 0.0 21.9 1 0
56 1 56 2023-02-06 18:18:15 235.08 253.58 23.81 20.46 0.0 21.9 1 0
57 1 57 2023-02-06 18:18:35 235.17 253.41 23.78 20.46 3.3 21.9 1 0
58 1 58 2023-02-06 18:18:55 234.97 253.72 23.78 20.46 0.0 21.9 1 0
59 1 59 2023-02-06 18:19:15 235.19 253.41 23.75 20.46 3.3 21.9 1 0
60 1 60 2023-02-06 18:19:35 235.08 253.55 23.75 20.46 0.0 21.9 1 0
61 1 61 2023-02-06 18:19:55 235.4 253.08 23.73 20.46 6.6 21.8 1 0
62 1 62 2023-02-06 18:20:15 235.07 253.78 23.73 20.43 0.0 21.8 1 0
63 1 63 2023-02-06 18:20:35 235.33 253.71 23.73 20.43 33.3 21.8 1 0
64 1 64 2023-02-06 18:20:55 234.96 253.31 23.73 20.43 10.0 21.8 1 0
65 1 65 2023-02-06 18:21:15 235.53 253.64 23.7 20.43 29.9 21.8 1 0
66 1 66 2023-02-06 18:21:35 235.38 253.48 23.7 20.43 0.0 21.8 1 0
67 1 67 2023-02-06 18:21:55 235.54 253.87 23.67 20.41 43.3 21.8 1 0
68 1 68 2023-02-06 18:22:15 235.67 253.41 23.67 20.43 10.0 21.8 1 0
69 1 69 2023-02-06 18:22:35 235.63 253.75 23.64 20.41 3.3 21.8 1 0
70 1 70 2023-02-06 18:22:55 235.7 253.49 23.64 20.41 0.0 21.8 1 0
71 1 71 2023-02-06 18:23:15 235.5 253.89 23.64 20.41 0.0 21.7 1 0
72 1 72 2023-02-06 18:23:35 235.61 253.85 23.61 20.41 0.0 21.7 1 0
73 1 73 2023-02-06 18:23:55 235.88 253.96 23.61 20.38 0.0 21.7 1 0
74 1 74 2023-02-06 18:24:15 236.04 253.74 23.58 20.38 3.3 21.7 1 0
75 1 75 2023-02-06 18:24:35 235.97 253.5 23.58 20.35 0.0 21.7 1 0
76 1 76 2023-02-06 18:24:55 236.15 254.23 23.56 20.35 0.0 21.7 1 0
77 1 77 2023-02-06 18:25:15 236.0 253.63 23.56 20.38 0.0 21.7 1 0
78 1 78 2023-02-06 18:25:35 235.95 253.76 23.56 20.35 3.3 21.6 1 0
79 1 79 2023-02-06 18:25:45 235.95 254.04 23.56 20.35 0.0 21.6 1 0
80 1 80 2023-02-06 18:26:05 236.07 254.36 23.53 20.33 3.3 21.6 1 0
81 1 81 2023-02-06 18:26:25 236.01 254.27 23.5 20.33 3.3 21.6 1 0
82 1 82 2023-02-06 18:26:45 236.25 254.13 23.5 20.33 3.3 21.6 1 0
83 1 83 2023-02-06 18:27:05 236.34 254.25 23.47 20.33 0.0 21.6 1 0
